City,Last Sold For ($),Last Sold Year,Latitude (degrees),Longitude (degrees),Lot Size (sqft),Price ($),Price Sqr Ft,State,Year Built,Zipcode,airconditioning,area (sqft),basement,bathrooms,bedrooms,furnishingstatus,guestroom,hotwaterheating,mainroad,parking,prefarea,price,stories
Aurora,270000.0,2008.0,39.664993,-104.75025,6534.0,450000.0,$123/sqft,CO,2006.0,80013.0,no,3630.0,no,2,3,1,no,yes,yes,2,no,4025000,2
Tucson,,,32.370365,-111.03273,1.0,649500.0,$176/sqft,AZ,2015.0,85742.0,no,3630.0,no,2,3,1,no,yes,yes,2,no,4025000,2
Fort Worth,,,32.711052,-97.42237,0.29,899000.0,$258/sqft,TX,1995.0,76116.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Middle River,452818.0,2018.0,39.352627,-76.41949,6970.0,485000.0,$138/sqft,MD,2018.0,21220.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Seatac,690000.0,2007.0,47.4313,-122.28502,7294.0,739000.0,$213/sqft,WA,2007.0,98188.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Raleigh,,,35.82875,-78.679886,0.56,500000.0,$144/sqft,NC,1970.0,27612.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Phoenix,365000.0,1995.0,33.529957,-112.080154,0.26,750000.0,$216/sqft,AZ,1994.0,85013.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
San Antonio,,,29.45442,-98.73083,10019.0,610000.0,$175/sqft,TX,2016.0,78253.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Indianapolis,,,39.921074,-85.99197,0.39,374900.0,$106/sqft,IN,1996.0,46256.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Lincoln,56000.0,2018.0,40.87718,-96.72386,8276.0,495000.0,$146/sqft,NE,2019.0,68521.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Birmingham,250000.0,2017.0,33.423,-86.82143,0.39,295000.0,$87/sqft,AL,1964.0,35226.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Minneapolis,,,44.933533,-93.32611,0.29,929000.0,$270/sqft,MN,1934.0,55410.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
San Antonio,,,29.57845,-98.50019,0.32,399975.0,$117/sqft,TX,2004.0,78216.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Indianapolis,,,39.76761,-86.06378,7405.0,91900.0,$26/sqft,IN,1920.0,46219.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Fresno,565000.0,2001.0,36.81761,-119.83225,0.85,895000.0,$252/sqft,CA,1976.0,93711.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Milwaukee,246300.0,2017.0,43.038933,-88.01721,8276.0,499900.0,$145/sqft,WI,1993.0,53213.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Lubbock,,,33.512226,-101.94734,10000.0,419000.0,$121/sqft,TX,2007.0,79424.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Raleigh,455000.0,2015.0,35.940918,-78.72218,0.93,489000.0,$142/sqft,NC,1996.0,27613.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Tampa,338000.0,2016.0,28.16178,-82.34112,8400.0,429000.0,$122/sqft,FL,2006.0,33647.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
San Antonio,,,29.652246,-98.517456,8886.0,325000.0,$97/sqft,TX,2004.0,78260.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Shaker Heights,64900.0,2010.0,41.46177,-81.55586,5200.0,105000.0,$31/sqft,OH,1930.0,44122.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Louisville,,,38.209713,-85.68609,0.29,365000.0,$104/sqft,KY,1966.0,40205.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Apple Valley,649800.0,2009.0,44.719955,-93.16531,8276.0,718000.0,$212/sqft,MN,2008.0,55124.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
El Paso,,,31.773191,-106.49609,7928.0,575000.0,$167/sqft,TX,1949.0,79902.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Chicago,,,41.9495,-87.74802,3920.0,308000.0,$91/sqft,IL,1908.0,60641.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Minneapolis,535000.0,2015.0,44.89346,-93.38756,0.47,549000.0,$154/sqft,MN,1974.0,55436.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
North Chesterfield,,,37.409412,-77.485794,,332950.0,$94/sqft,VA,,23237.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Portland,415000.0,2011.0,45.4667,-122.681046,0.34,649000.0,$190/sqft,OR,1954.0,97219.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Tulsa,,,36.070942,-95.89255,0.26,255000.0,$73/sqft,OK,1983.0,74133.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Lakewood,250804.0,1998.0,39.696663,-105.119965,7318.0,630000.0,$183/sqft,CO,1999.0,80226.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Modesto,333409.0,2001.0,37.702587,-121.027405,7405.0,519990.0,$151/sqft,CA,2001.0,95356.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Dallas,,,32.82024,-96.7024,8105.0,719900.0,$212/sqft,TX,2012.0,75218.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Fresno,652000.0,2005.0,36.862682,-119.79628,0.29,799000.0,$237/sqft,CA,1989.0,93711.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Fort Wayne,,,41.017586,-85.27849,0.25,389900.0,$116/sqft,IN,1999.0,46804.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Houston,,,29.742142,-95.40786,5850.0,750000.0,$215/sqft,TX,1940.0,77098.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Gilbert,452669.0,2013.0,33.226482,-111.70812,10249.0,629926.0,$187/sqft,AZ,2013.0,85298.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Commerce City,,,39.880444,-104.785835,5248.0,405000.0,$118/sqft,CO,2019.0,80022.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Houston,,,29.798288,-95.47127,8098.0,879900.0,$251/sqft,TX,2015.0,77055.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Hialeah,249100.0,2000.0,25.922749,-80.32927,8099.0,600000.0,$177/sqft,FL,2000.0,33016.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Cincinnati,176000.0,1997.0,39.226982,-84.499,0.54,339500.0,$101/sqft,OH,1961.0,45215.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Miami,450000.0,2014.0,25.57279,-80.49138,1.36,595000.0,$175/sqft,FL,1981.0,33187.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
El Paso,,,31.858614,-106.616974,0.49,199950.0,$58/sqft,TX,2019.0,79932.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Lexington,319900.0,2017.0,37.963474,-84.46541,0.32,364900.0,$104/sqft,KY,1995.0,40515.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Houston,,,29.84511,-95.53959,6969.0,297000.0,$88/sqft,TX,2019.0,77041.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Spokane,6360.0,2015.0,47.632347,-117.3935,0.43,649000.0,$192/sqft,WA,1978.0,99203.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Las Vegas,,,36.21554,-115.34486,,804880.0,$231/sqft,NV,,89138.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Houston,,,29.66535,-95.5007,9840.0,349000.0,$103/sqft,TX,1976.0,77096.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Philadelphia,770000.0,2012.0,39.954082,-75.14394,653.0,995000.0,$284/sqft,PA,1850.0,19106.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Nashville,330000.0,2013.0,36.117405,-86.891,1.28,750000.0,$211/sqft,TN,1961.0,37205.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Charlotte,,,35.20609,-80.60603,0.76,382400.0,$111/sqft,NC,2014.0,28227.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Spokane,360000.0,2018.0,47.80207,-117.396164,0.31,408000.0,$117/sqft,WA,1996.0,99208.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Reno,570000.0,2003.0,39.403698,-119.78709,2.5,1099000.0,$318/sqft,NV,2001.0,89511.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Dallas,,,32.654327,-96.76687,0.34,227900.0,$68/sqft,TX,2006.0,75241.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Charlotte,590000.0,2009.0,35.215675,-81.007195,0.62,937000.0,$269/sqft,NC,1990.0,28214.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
North Royalton,,,41.326702,-81.74853,2.68,85000.0,$24/sqft,OH,1951.0,44133.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Keller,,,32.91387,-97.29057,7091.0,425000.0,$120/sqft,TX,2014.0,76244.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Lincoln,235000.0,2014.0,40.877884,-96.70335,8276.0,309900.0,$87/sqft,NE,2014.0,68521.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Commerce City,180000.0,2007.0,39.88074,-104.82222,4792.0,359000.0,$105/sqft,CO,2003.0,80022.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Colorado Springs,425000.0,2014.0,39.08149,-104.77317,2.52,589000.0,$168/sqft,CO,2013.0,80921.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Chicago,1167000.0,2015.0,41.915447,-87.643234,,1269000.0,$373/sqft,IL,2014.0,60614.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
San Antonio,,,29.457434,-98.73205,10019.0,507990.0,$150/sqft,TX,2016.0,78253.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Austin,,,30.328878,-98.03642,8655.0,587900.0,$172/sqft,TX,2017.0,78738.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Studio City,710000.0,2003.0,34.1388,-118.37637,7925.0,2145000.0,$616/sqft,CA,1964.0,91604.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Chesapeake,295000.0,2003.0,36.803402,-76.4346,0.36,428500.0,$127/sqft,VA,2002.0,23321.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Colorado Springs,385000.0,2019.0,38.721405,-104.65894,7180.0,397200.0,$112/sqft,CO,2018.0,80925.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Sachse,,,32.964306,-96.556984,1.0,632900.0,$183/sqft,TX,2017.0,75048.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Virginia Beach,385000.0,2012.0,36.88306,-76.13268,0.75,490000.0,$145/sqft,VA,1983.0,23455.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Spokane,,,47.64287,-117.33696,8201.0,418999.0,$123/sqft,WA,2015.0,99212.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Jacksonville,273500.0,2005.0,30.460258,-81.6084,0.31,236564.0,$68/sqft,FL,2005.0,32218.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Charlotte,435000.0,2013.0,35.022575,-80.82233,8494.0,579900.0,$172/sqft,NC,2004.0,28277.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Baton Rouge,,,30.346945,-91.04536,1.0,565000.0,$168/sqft,LA,2000.0,70810.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Scottsdale,920000.0,2015.0,33.492477,-111.94978,0.31,1499999.0,$423/sqft,AZ,1964.0,85251.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Greensboro,470000.0,2006.0,36.07488,-79.81831,0.25,639000.0,$180/sqft,NC,1933.0,27403.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Lubbock,,,33.499016,-101.9154,9430.0,379500.0,$112/sqft,TX,2003.0,79424.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Wichita,,,37.719276,-97.21998,0.26,359900.0,$105/sqft,KS,2002.0,67206.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Roanoke,,,33.0075,-97.26087,,451900.0,$129/sqft,TX,,76262.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Blaine,634263.0,2005.0,45.184513,-93.19141,0.35,599900.0,$175/sqft,MN,2005.0,55449.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Spokane,546000.0,2007.0,47.781204,-117.39278,0.28,650000.0,$191/sqft,WA,2006.0,99208.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Albuquerque,,,35.09622,-106.49163,0.29,550000.0,$160/sqft,NM,1990.0,87112.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Raleigh,380000.0,2014.0,35.928722,-78.565636,0.31,439900.0,$129/sqft,NC,2005.0,27614.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Miami,412000.0,2011.0,25.670935,-80.33538,0.44,849000.0,$246/sqft,FL,1949.0,33176.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Louisville,260000.0,2018.0,38.149166,-85.637115,0.47,345000.0,$99/sqft,KY,2001.0,40228.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Las Vegas,2052051.0,2007.0,36.107597,-115.18217,,1995000.0,$588/sqft,NV,2006.0,89103.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Nichols Hills,,,35.554916,-97.55532,0.35,600000.0,$169/sqft,OK,1950.0,73120.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Buffalo,61000.0,2000.0,42.90274,-78.88359,2838.0,325000.0,$95/sqft,NY,1930.0,14201.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
San Antonio,,,29.690771,-98.469955,0.26,289000.0,$84/sqft,TX,2007.0,78260.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Saint Paul,538339.0,2016.0,45.087437,-93.06326,6534.0,595000.0,$173/sqft,MN,1998.0,55127.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Indian Hills,,,38.290154,-85.67146,0.87,749000.0,$216/sqft,KY,1955.0,40207.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Commerce City,,,39.876484,-104.785706,5248.0,429990.0,$121/sqft,CO,2019.0,80022.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Saint Paul,649800.0,2009.0,44.719955,-93.16531,8276.0,718000.0,$212/sqft,MN,2008.0,55124.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Commerce City,433940.0,2018.0,39.868793,-104.7875,6708.0,474900.0,$137/sqft,CO,2018.0,80022.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Lubbock,,,33.5107,-101.91499,7769.0,475000.0,$139/sqft,TX,2001.0,79424.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Winston Salem,,,35.995102,-80.288414,,250900.0,$71/sqft,NC,,27127.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Irving,,,32.903343,-96.94657,6384.0,513000.0,$145/sqft,TX,2009.0,75039.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Colorado Springs,,,38.950863,-104.70869,8050.0,418950.0,$118/sqft,CO,,80924.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Lexington,250000.0,2018.0,37.992245,-84.55558,0.57,399000.0,$116/sqft,KY,1967.0,40503.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Denver,785000.0,2010.0,39.679016,-105.04611,0.36,1195000.0,$351/sqft,CO,1956.0,80219.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Lubbock,,,33.49575,-101.91109,8580.0,365000.0,$104/sqft,TX,2004.0,79424.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Corpus Christi,,,27.64945,-97.30885,0.88,539900.0,$153/sqft,TX,2013.0,78418.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Tulsa,183000.0,1999.0,36.01773,-95.858086,9757.0,284900.0,$85/sqft,OK,1986.0,74133.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
River Ridge,,,29.953653,-90.206,9600.0,499900.0,$143/sqft,LA,1964.0,70123.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Indianapolis,,,39.883026,-86.04561,0.8,305000.0,$91/sqft,IN,1973.0,46256.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Houston,,,29.75409,-95.45097,,750000.0,$223/sqft,TX,1981.0,77027.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
San Antonio,,,29.651798,-98.48289,0.56,529000.0,$150/sqft,TX,2000.0,78258.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Los Angeles,540000.0,1995.0,34.068684,-118.487495,9760.0,2795000.0,$818/sqft,CA,1953.0,90049.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Fort Wayne,,,41.20479,-85.12998,0.36,319900.0,$90/sqft,IN,1998.0,46845.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Scottsdale,72500.0,1994.0,33.599575,-111.78603,0.29,898000.0,$255/sqft,AZ,1996.0,85259.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Commerce City,,,39.88855,-104.77968,5750.0,563900.0,$167/sqft,CO,,80022.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
San Antonio,,,29.683079,-98.41772,9235.0,414900.0,$117/sqft,TX,2012.0,78261.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Colorado Springs,335000.0,2005.0,38.96726,-104.76278,7464.0,439900.0,$130/sqft,CO,2001.0,80920.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Tulsa,,,36.05081,-95.923874,0.41,349500.0,$100/sqft,OK,1981.0,74136.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Happy Valley,578900.0,2015.0,45.431843,-122.50436,6969.0,719000.0,$209/sqft,OR,2015.0,97086.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Omaha,250000.0,2013.0,41.287136,-96.15981,0.34,365000.0,$106/sqft,NE,1996.0,68116.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Colorado Springs,434372.0,2016.0,38.978584,-104.74162,8957.0,540000.0,$154/sqft,CO,2016.0,80924.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Chicago,440000.0,2017.0,41.940773,-87.757935,3750.0,450000.0,$129/sqft,IL,1929.0,60641.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Colorado Springs,,,38.832092,-104.52558,,464690.0,$132/sqft,CO,,80924.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
New Orleans,,,29.95451,-90.115746,6360.0,675000.0,$195/sqft,LA,2019.0,70125.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Charlotte,,,35.236965,-80.67297,,296900.0,$84/sqft,NC,,28215.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Orlando,297000.0,2013.0,28.553335,-81.15488,5500.0,369995.0,$107/sqft,FL,2013.0,32828.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Jacksonville,300000.0,2014.0,30.347435,-81.53009,1.04,430000.0,$125/sqft,FL,1951.0,32225.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Portland,125000.0,2001.0,45.541874,-122.64185,5000.0,850000.0,$247/sqft,OR,1938.0,97212.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Plymouth,837579.0,2019.0,45.063835,-93.495056,6490.0,785000.0,$223/sqft,MN,2019.0,55446.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Cincinnati,,,39.24388,-84.39512,,726296.0,$215/sqft,OH,,45242.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Portland,492000.0,2017.0,45.541447,-122.631294,4250.0,959900.0,$283/sqft,OR,1927.0,97212.0,yes,3460.0,yes,2,3,2,no,no,yes,1,no,4025000,1
Los Angeles,565000.0,2010.0,34.10555,-118.38341,5630.0,2395000.0,$534/sqft,CA,1959.0,90069.0,yes,4500.0,yes,1,3,1,no,no,no,0,no,4007500,2
Los Angeles,975009.0,2014.0,34.057693,-118.30984,7500.0,2100000.0,$466/sqft,CA,1940.0,90005.0,yes,4500.0,yes,1,3,1,no,no,no,0,no,4007500,2
New York,,,40.74279,-73.994026,,4495000.0,"$1,022/sqft",NY,1925.0,10011.0,yes,4500.0,yes,1,3,1,no,no,no,0,no,4007500,2
Lakewood,465000.0,2014.0,39.697132,-105.08921,2.77,795000.0,$177/sqft,CO,1932.0,80226.0,yes,4500.0,yes,1,3,1,no,no,no,0,no,4007500,2
Birmingham,210500.0,2005.0,33.541595,-86.94644,1.31,,,AL,1991.0,35224.0,yes,4500.0,yes,1,3,1,no,no,no,0,no,4007500,2
Indianapolis,,,39.76761,-86.06378,7405.0,91900.0,$26/sqft,IN,1920.0,46219.0,yes,3460.0,no,1,4,1,no,no,yes,0,no,4007500,2
Chicago,,,41.9495,-87.74802,3920.0,308000.0,$91/sqft,IL,1908.0,60641.0,yes,3460.0,no,1,4,1,no,no,yes,0,no,4007500,2
Middle Village,663500.0,2007.0,40.715744,-73.87335,3400.0,1099000.0,$323/sqft,NY,1920.0,11379.0,yes,3460.0,no,1,4,1,no,no,yes,0,no,4007500,2
San Antonio,,,29.52362,-98.53405,0.31,340000.0,$98/sqft,TX,1965.0,78230.0,yes,3460.0,no,1,4,1,no,no,yes,0,no,4007500,2
Lakewood,250804.0,1998.0,39.696663,-105.119965,7318.0,630000.0,$183/sqft,CO,1999.0,80226.0,yes,3460.0,no,1,4,1,no,no,yes,0,no,4007500,2
Commerce City,,,39.880444,-104.785835,5248.0,405000.0,$118/sqft,CO,2019.0,80022.0,yes,3460.0,no,1,4,1,no,no,yes,0,no,4007500,2
Atlanta,400000.0,2017.0,33.846275,-84.350586,0.51,429900.0,$121/sqft,GA,1954.0,30324.0,yes,3460.0,no,1,4,1,no,no,yes,0,no,4007500,2
Miami,450000.0,2014.0,25.57279,-80.49138,1.36,595000.0,$175/sqft,FL,1981.0,33187.0,yes,3460.0,no,1,4,1,no,no,yes,0,no,4007500,2
Commerce City,180000.0,2007.0,39.88074,-104.82222,4792.0,359000.0,$105/sqft,CO,2003.0,80022.0,yes,3460.0,no,1,4,1,no,no,yes,0,no,4007500,2
Spokane,43163.0,2017.0,47.773792,-117.39416,2.89,419000.0,$118/sqft,WA,1968.0,99208.0,yes,3460.0,no,1,4,1,no,no,yes,0,no,4007500,2
Omaha,250000.0,2013.0,41.287136,-96.15981,0.34,365000.0,$106/sqft,NE,1996.0,68116.0,yes,3460.0,no,1,4,1,no,no,yes,0,no,4007500,2
Portland,125000.0,2001.0,45.541874,-122.64185,5000.0,850000.0,$247/sqft,OR,1938.0,97212.0,yes,3460.0,no,1,4,1,no,no,yes,0,no,4007500,2
Orlando,210000.0,2009.0,28.435007,-81.251625,5580.0,329900.0,$96/sqft,FL,2004.0,32832.0,yes,3460.0,no,1,4,1,no,no,yes,0,no,4007500,2
Denver,435000.0,2013.0,39.67634,-104.87859,0.29,599900.0,$148/sqft,CO,1972.0,80231.0,no,4100.0,yes,1,4,0,no,no,no,0,no,3990000,1
Germantown,342000.0,2018.0,35.09241,-89.79673,0.38,349000.0,$87/sqft,TN,1973.0,38138.0,no,4100.0,yes,1,4,0,no,no,no,0,no,3990000,1
Portland,775000.0,2014.0,45.528046,-122.68897,3470.0,869900.0,$216/sqft,OR,1884.0,97209.0,no,4100.0,yes,1,4,0,no,no,no,0,no,3990000,1
Chicago,,,41.877438,-87.658134,4395.0,2500000.0,$385/sqft,IL,1879.0,60607.0,yes,6480.0,no,1,3,1,no,no,no,1,no,3990000,2
Los Angeles,565000.0,2010.0,34.10555,-118.38341,5630.0,2395000.0,$534/sqft,CA,1959.0,90069.0,yes,4500.0,yes,2,3,1,no,no,no,0,no,3990000,2
Los Angeles,975009.0,2014.0,34.057693,-118.30984,7500.0,2100000.0,$466/sqft,CA,1940.0,90005.0,yes,4500.0,yes,2,3,1,no,no,no,0,no,3990000,2
Baltimore,299900.0,1999.0,39.35776,-76.66653,0.87,559900.0,$127/sqft,MD,1996.0,21209.0,yes,4500.0,yes,2,3,1,no,no,no,0,no,3990000,2
Oro Valley,89550.0,1998.0,32.400368,-110.98986,0.66,829900.0,$187/sqft,AZ,1999.0,85737.0,yes,4500.0,yes,2,3,1,no,no,no,0,no,3990000,2
Essex,,,39.28129,-76.415985,10402.0,369000.0,$81/sqft,MD,1950.0,21221.0,yes,4500.0,yes,2,3,1,no,no,no,0,no,3990000,2
Indianapolis,,,39.864857,-86.05498,0.29,485000.0,$108/sqft,IN,1998.0,46220.0,yes,4500.0,yes,2,3,1,no,no,no,0,no,3990000,2
New York,,,40.74279,-73.994026,,4495000.0,"$1,022/sqft",NY,1925.0,10011.0,yes,4500.0,yes,2,3,1,no,no,no,0,no,3990000,2
Lakewood,465000.0,2014.0,39.697132,-105.08921,2.77,795000.0,$177/sqft,CO,1932.0,80226.0,yes,4500.0,yes,2,3,1,no,no,no,0,no,3990000,2
Eastborough,,,37.687557,-97.26088,0.6,365000.0,$82/sqft,KS,1929.0,67206.0,yes,4500.0,yes,2,3,1,no,no,no,0,no,3990000,2
Birmingham,210500.0,2005.0,33.541595,-86.94644,1.31,,,AL,1991.0,35224.0,yes,4500.0,yes,2,3,1,no,no,no,0,no,3990000,2
Bakersfield,,,35.409348,-118.98052,0.5,439950.0,$96/sqft,CA,1978.0,93305.0,yes,4500.0,yes,2,3,1,no,no,no,0,no,3990000,2
Indianapolis,,,39.648605,-86.06282,3.0,399000.0,$87/sqft,IN,1995.0,46237.0,yes,4500.0,yes,2,3,1,no,no,no,0,no,3990000,2
New York,,,40.72186,-73.99835,,6250000.0,"$1,420/sqft",NY,1910.0,10012.0,yes,4500.0,yes,2,3,1,no,no,no,0,no,3990000,2
Albuquerque,,,35.18498,-106.62142,1.3,799500.0,$174/sqft,NM,,87114.0,yes,4500.0,yes,2,3,1,no,no,no,0,no,3990000,2
Milwaukee,,,43.0772,-87.9246,3920.0,5656.0,$1/sqft,WI,1897.0,53206.0,yes,4500.0,yes,2,3,1,no,no,no,0,no,3990000,2
